,date,num,start,end
110,2021-12-23 00:00:00,1,10:10:00,11:30:00
111,2021-12-23 00:00:00,2,13:45:00,14:00:00
112,2021-12-27 00:00:00,1,09:00:00,10:30:00
113,2021-12-27 00:00:00,2,10:35:00,10:55:00
114,2021-12-27 00:00:00,3,12:20:00,12:45:00
115,2021-12-27 00:00:00,4,13:45:00,15:00:00
116,2021-12-29 00:00:00,1,11:15:00,12:50:00
117,2021-12-29 00:00:00,2,13:40:00,15:00:00
118,2021-12-30 00:00:00,1,08:45:00,09:45:00
119,2021-12-30 00:00:00,2,10:30:00,12:35:00
120,2021-12-31 00:00:00,1,10:05:00,10:30:00
121,2022-01-03 00:00:00,1,08:50:00,11:30:00
122,2022-01-04 00:00:00,1,10:30:00,11:00:00
123,2022-01-05 00:00:00,1,08:30:00,09:15:00
124,2022-01-10 00:00:00,1,12:15:00,13:05:00
125,2022-01-10 00:00:00,2,13:45:00,15:00:00
126,2022-01-11 00:00:00,1,09:00:00,14:05:00
127,2022-01-12 00:00:00,1,09:30:00,11:45:00
128,2022-01-12 00:00:00,2,12:25:00,13:20:00
129,2022-01-12 00:00:00,3,13:45:00,15:00:00
130,2022-01-13 00:00:00,1,10:00:00,11:05:00
131,2022-01-13 00:00:00,2,11:55:00,13:05:00
132,2022-01-14 00:00:00,1,11:00:00,12:35:00
133,2022-01-14 00:00:00,2,14:00:00,15:00:00
134,2022-01-19 00:00:00,1,09:30:00,10:55:00
135,2022-01-19 00:00:00,2,12:25:00,13:15:00
136,2022-01-19 00:00:00,3,13:45:00,14:15:00
137,2022-01-20 00:00:00,1,08:45:00,10:40:00
138,2022-01-20 00:00:00,2,11:10:00,12:00:00
139,2022-01-20 00:00:00,3,12:20:00,13:05:00
140,2022-01-21 00:00:00,1,12:25:00,13:40:00
141,2022-01-25 00:00:00,1,09:05:00,13:35:00
142,2022-01-27 00:00:00,1,12:30:00,13:05:00
143,2022-01-27 00:00:00,2,13:35:00,15:00:00
144,2022-01-28 00:00:00,1,10:15:00,11:10:00
145,2022-01-28 00:00:00,2,11:40:00,12:30:00
146,2022-01-28 00:00:00,3,13:10:00,15:00:00
147,2022-01-31 00:00:00,1,10:40:00,11:55:00
148,2022-01-31 00:00:00,2,12:50:00,15:00:00
149,2022-02-02 00:00:00,1,11:50:00,15:00:00
150,2022-02-04 00:00:00,1,12:00:00,13:00:00
151,2022-02-04 00:00:00,2,13:30:00,14:00:00
152,2022-02-10 00:00:00,1,08:30:00,09:10:00
153,2022-02-10 00:00:00,2,09:55:00,11:00:00
154,2022-02-16 00:00:00,1,08:30:00,10:00:00
155,2022-02-17 00:00:00,1,10:00:00,11:30:00
156,2022-02-17 00:00:00,2,12:10:00,14:45:00
157,2022-02-18 00:00:00,1,08:30:00,10:15:00
158,2022-02-18 00:00:00,2,11:15:00,15:00:00
159,2022-02-22 00:00:00,1,09:45:00,10:30:00
160,2022-02-24 00:00:00,1,08:50:00,10:20:00
161,2022-02-24 00:00:00,2,11:10:00,11:45:00
162,2022-02-24 00:00:00,3,14:10:00,15:00:00
163,2022-02-25 00:00:00,1,11:40:00,15:00:00
164,2022-02-28 00:00:00,1,10:50:00,12:30:00
165,2022-02-28 00:00:00,2,13:50:00,15:00:00
166,2022-03-01 00:00:00,1,09:20:00,09:50:00
167,2022-03-01 00:00:00,2,10:20:00,11:05:00
168,2022-03-01 00:00:00,3,13:40:00,15:00:00
169,2022-03-02 00:00:00,1,10:00:00,14:20:00
170,2022-03-03 00:00:00,1,10:00:00,11:35:00
171,2022-03-03 00:00:00,2,12:05:00,13:05:00
172,2022-03-03 00:00:00,3,13:35:00,15:00:00
173,2022-03-04 00:00:00,1,10:20:00,10:50:00
174,2022-03-04 00:00:00,2,11:15:00,13:30:00
175,2022-03-07 00:00:00,1,11:20:00,12:40:00
176,2022-03-07 00:00:00,2,13:40:00,14:50:00
177,2022-03-08 00:00:00,1,08:30:00,09:00:00
178,2022-03-08 00:00:00,2,10:00:00,10:45:00
179,2022-03-08 00:00:00,3,11:35:00,12:35:00
180,2022-03-10 00:00:00,1,14:05:00,15:00:00
181,2022-03-11 00:00:00,1,12:05:00,13:30:00
182,2022-03-18 00:00:00,1,10:10:00,12:45:00
183,2022-03-21 00:00:00,1,08:30:00,09:00:00
184,2022-03-21 00:00:00,2,10:30:00,11:40:00
185,2022-03-21 00:00:00,3,13:25:00,14:20:00
186,2022-03-25 00:00:00,1,09:35:00,10:50:00
187,2022-03-25 00:00:00,2,12:25:00,13:30:00
188,2022-03-28 00:00:00,1,10:00:00,11:10:00
189,2022-03-29 00:00:00,1,08:30:00,10:30:00
190,2022-03-29 00:00:00,2,11:15:00,13:20:00
191,2022-03-29 00:00:00,3,13:35:00,15:00:00
192,2022-03-30 00:00:00,1,12:05:00,13:20:00
193,2022-03-31 00:00:00,1,10:55:00,11:45:00
194,2022-04-01 00:00:00,1,10:00:00,10:30:00
